seed,step,dataset,muh_fun,method,coverage,width,muh_test,y_test
0,1,blue,ridge,full_ex,1.0,1.08,1.213466367887793,1.4785696144018734
0,1,blue,ridge,full_1fcs,1.0,2.22,1.213466367887793,1.4785696144018734
0,1,blue,ridge,full_mfcs,1.0,2.22,1.213466367887793,1.4785696144018734
0,2,blue,ridge,full_ex,1.0,0.92,1.4798025497696385,1.5948412708975506
0,2,blue,ridge,full_1fcs,1.0,2.22,1.4798025497696385,1.5948412708975506
0,2,blue,ridge,full_mfcs,1.0,2.22,1.4798025497696385,1.5948412708975506
0,3,blue,ridge,full_ex,1.0,0.92,1.5186211567651766,1.3809664323009776
0,3,blue,ridge,full_1fcs,1.0,2.22,1.5186211567651766,1.3809664323009776
0,3,blue,ridge,full_mfcs,1.0,2.22,1.5186211567651766,1.3809664323009776
0,4,blue,ridge,full_ex,1.0,0.9400000000000001,1.5947942221866462,1.5314222438887557
0,4,blue,ridge,full_1fcs,1.0,1.96,1.5947942221866462,1.5314222438887557
0,4,blue,ridge,full_mfcs,1.0,1.86,1.5947942221866462,1.5314222438887557
0,5,blue,ridge,full_ex,1.0,0.9,1.5631134296389415,1.5805185937229924
0,5,blue,ridge,full_1fcs,1.0,1.98,1.5631134296389415,1.5805185937229924
0,5,blue,ridge,full_mfcs,1.0,1.8,1.5631134296389415,1.5805185937229924
1,1,blue,ridge,full_ex,1.0,1.28,1.353949246694267,1.5208723011331635
1,1,blue,ridge,full_1fcs,1.0,2.22,1.353949246694267,1.5208723011331635
1,1,blue,ridge,full_mfcs,1.0,2.22,1.353949246694267,1.5208723011331635
1,2,blue,ridge,full_ex,1.0,0.78,1.5207220717294392,1.5184493705243884
1,2,blue,ridge,full_1fcs,1.0,2.22,1.5207220717294392,1.5184493705243884
1,2,blue,ridge,full_mfcs,1.0,2.22,1.5207220717294392,1.5184493705243884
1,3,blue,ridge,full_ex,1.0,0.76,1.5195858205025528,1.5301069037019563
1,3,blue,ridge,full_1fcs,1.0,2.22,1.5195858205025528,1.5301069037019563
1,3,blue,ridge,full_mfcs,1.0,1.84,1.5195858205025528,1.5301069037019563
1,4,blue,ridge,full_ex,1.0,0.76,1.5230926437727221,1.5445217307200652
1,4,blue,ridge,full_1fcs,1.0,2.22,1.5230926437727221,1.5445217307200652
1,4,blue,ridge,full_mfcs,1.0,1.86,1.5230926437727221,1.5445217307200652
1,5,blue,ridge,full_ex,1.0,0.74,1.5284496812515407,1.5479836869398262
1,5,blue,ridge,full_1fcs,1.0,2.22,1.5284496812515407,1.5479836869398262
1,5,blue,ridge,full_mfcs,1.0,1.84,1.5284496812515407,1.5479836869398262
2,1,blue,ridge,full_ex,1.0,1.3800000000000001,0.7051657932231508,0.28909341511269865
2,1,blue,ridge,full_1fcs,1.0,2.14,0.7051657932231508,0.28909341511269865
2,1,blue,ridge,full_mfcs,1.0,2.14,0.7051657932231508,0.28909341511269865
2,2,blue,ridge,full_ex,1.0,1.52,1.2410244013521496,1.065163152075379
2,2,blue,ridge,full_1fcs,1.0,2.22,1.2410244013521496,1.065163152075379
2,2,blue,ridge,full_mfcs,1.0,2.22,1.2410244013521496,1.065163152075379
2,3,blue,ridge,full_ex,1.0,1.62,1.3203346137162437,0.9532539355654243
2,3,blue,ridge,full_1fcs,1.0,2.22,1.3203346137162437,0.9532539355654243
2,3,blue,ridge,full_mfcs,1.0,1.94,1.3203346137162437,0.9532539355654243
2,4,blue,ridge,full_ex,1.0,1.44,0.8660070925519752,1.4308907503220476
2,4,blue,ridge,full_1fcs,1.0,1.7,0.8660070925519752,1.4308907503220476
2,4,blue,ridge,full_mfcs,1.0,1.98,0.8660070925519752,1.4308907503220476
2,5,blue,ridge,full_ex,1.0,1.52,1.614555186917674,1.3225487093574169
2,5,blue,ridge,full_1fcs,1.0,2.22,1.614555186917674,1.3225487093574169
2,5,blue,ridge,full_mfcs,1.0,2.22,1.614555186917674,1.3225487093574169
3,1,blue,ridge,full_ex,1.0,1.1400000000000001,1.4903963308823507,1.4183292908272755
3,1,blue,ridge,full_1fcs,1.0,2.22,1.4903963308823507,1.4183292908272755
3,1,blue,ridge,full_mfcs,1.0,2.22,1.4903963308823507,1.4183292908272755
3,2,blue,ridge,full_ex,1.0,1.08,1.1554311711094138,1.4026135453531934
3,2,blue,ridge,full_1fcs,0.0,0.8200000000000001,1.1554311711094138,1.4026135453531934
3,2,blue,ridge,full_mfcs,1.0,2.22,1.1554311711094138,1.4026135453531934
3,3,blue,ridge,full_ex,1.0,1.1400000000000001,1.4273355216094514,1.4640612284173837
3,3,blue,ridge,full_1fcs,1.0,2.22,1.4273355216094514,1.4640612284173837
3,3,blue,ridge,full_mfcs,1.0,2.22,1.4273355216094514,1.4640612284173837
3,4,blue,ridge,full_ex,1.0,0.96,1.3052304225527096,1.407136235146365
3,4,blue,ridge,full_1fcs,1.0,2.22,1.3052304225527096,1.407136235146365
3,4,blue,ridge,full_mfcs,1.0,2.22,1.3052304225527096,1.407136235146365
3,5,blue,ridge,full_ex,1.0,0.88,1.4071077904985758,1.398127919791629
3,5,blue,ridge,full_1fcs,1.0,1.72,1.4071077904985758,1.398127919791629
3,5,blue,ridge,full_mfcs,1.0,1.68,1.4071077904985758,1.398127919791629
4,1,blue,ridge,full_ex,1.0,0.88,0.4891037568378043,0.25610920184451424
4,1,blue,ridge,full_1fcs,0.0,0.38,0.4891037568378043,0.25610920184451424
4,1,blue,ridge,full_mfcs,0.0,0.38,0.4891037568378043,0.25610920184451424
4,2,blue,ridge,full_ex,0.0,0.8,0.7260722445701246,1.31836643172943
4,2,blue,ridge,full_1fcs,0.0,0.58,0.7260722445701246,1.31836643172943
4,2,blue,ridge,full_mfcs,0.0,1.76,0.7260722445701246,1.31836643172943
4,3,blue,ridge,full_ex,1.0,1.0,1.399326523149972,1.3443390389313097
4,3,blue,ridge,full_1fcs,1.0,2.22,1.399326523149972,1.3443390389313097
4,3,blue,ridge,full_mfcs,1.0,2.22,1.399326523149972,1.3443390389313097
4,4,blue,ridge,full_ex,1.0,0.92,1.3443588380343487,1.3234035385994376
4,4,blue,ridge,full_1fcs,1.0,1.7,1.3443588380343487,1.3234035385994376
4,4,blue,ridge,full_mfcs,1.0,1.68,1.3443588380343487,1.3234035385994376
4,5,blue,ridge,full_ex,1.0,0.8200000000000001,1.3338830749765243,1.3414306646079084
4,5,blue,ridge,full_1fcs,1.0,1.76,1.3338830749765243,1.3414306646079084
4,5,blue,ridge,full_mfcs,1.0,1.6,1.3338830749765243,1.3414306646079084
5,1,blue,ridge,full_ex,1.0,1.42,1.7476153807842343,1.3648229854184806
5,1,blue,ridge,full_1fcs,1.0,2.22,1.7476153807842343,1.3648229854184806
5,1,blue,ridge,full_mfcs,1.0,2.22,1.7476153807842343,1.3648229854184806
5,2,blue,ridge,full_ex,1.0,1.34,1.0655734134255863,0.9166168832226885
5,2,blue,ridge,full_1fcs,1.0,0.78,1.0655734134255863,0.9166168832226885
5,2,blue,ridge,full_mfcs,1.0,2.22,1.0655734134255863,0.9166168832226885
5,3,blue,ridge,full_ex,0.0,1.18,1.1315992614204249,0.23719441963529397
5,3,blue,ridge,full_1fcs,0.0,0.88,1.1315992614204249,0.23719441963529397
5,3,blue,ridge,full_mfcs,1.0,2.22,1.1315992614204249,0.23719441963529397
5,4,blue,ridge,full_ex,1.0,1.32,0.5678867451275745,0.20317408901324996
5,4,blue,ridge,full_1fcs,1.0,0.76,0.5678867451275745,0.20317408901324996
5,4,blue,ridge,full_mfcs,1.0,1.74,0.5678867451275745,0.20317408901324996
5,5,blue,ridge,full_ex,1.0,1.74,0.9826399785192503,0.288823347801197
5,5,blue,ridge,full_1fcs,0.0,0.78,0.9826399785192503,0.288823347801197
5,5,blue,ridge,full_mfcs,1.0,1.78,0.9826399785192503,0.288823347801197
6,1,blue,ridge,full_ex,1.0,0.74,1.2092197219659286,1.3670710595293465
6,1,blue,ridge,full_1fcs,1.0,2.22,1.2092197219659286,1.3670710595293465
6,1,blue,ridge,full_mfcs,1.0,2.22,1.2092197219659286,1.3670710595293465
6,2,blue,ridge,full_ex,1.0,0.72,1.0366078676672337,1.382344250135041
6,2,blue,ridge,full_1fcs,0.0,1.72,1.0366078676672337,1.382344250135041
6,2,blue,ridge,full_mfcs,1.0,2.22,1.0366078676672337,1.382344250135041
6,3,blue,ridge,full_ex,1.0,0.9400000000000001,1.3822351284407561,1.369022755979574
6,3,blue,ridge,full_1fcs,1.0,2.18,1.3822351284407561,1.369022755979574
6,3,blue,ridge,full_mfcs,1.0,1.72,1.3822351284407561,1.369022755979574
6,4,blue,ridge,full_ex,1.0,0.74,1.3756299849048135,1.3703570712751436
6,4,blue,ridge,full_1fcs,1.0,2.0,1.3756299849048135,1.3703570712751436
6,4,blue,ridge,full_mfcs,1.0,1.6600000000000001,1.3756299849048135,1.3703570712751436
6,5,blue,ridge,full_ex,1.0,0.72,1.3738725319801088,1.3822374326527502
6,5,blue,ridge,full_1fcs,1.0,1.96,1.3738725319801088,1.3822374326527502
6,5,blue,ridge,full_mfcs,1.0,1.6600000000000001,1.3738725319801088,1.3822374326527502
7,1,blue,ridge,full_ex,1.0,1.56,0.7339563334966431,0.5628695086842392
7,1,blue,ridge,full_1fcs,1.0,1.5,0.7339563334966431,0.5628695086842392
7,1,blue,ridge,full_mfcs,1.0,1.5,0.7339563334966431,0.5628695086842392
7,2,blue,ridge,full_ex,1.0,1.34,1.527506999590857,1.4525014393016
7,2,blue,ridge,full_1fcs,1.0,2.22,1.527506999590857,1.4525014393016
7,2,blue,ridge,full_mfcs,1.0,2.22,1.527506999590857,1.4525014393016
7,3,blue,ridge,full_ex,1.0,1.2,1.3774668927253564,1.5155905859206065
7,3,blue,ridge,full_1fcs,1.0,1.72,1.3774668927253564,1.5155905859206065
7,3,blue,ridge,full_mfcs,1.0,1.86,1.3774668927253564,1.5155905859206065
7,4,blue,ridge,full_ex,1.0,1.18,1.5155422531800062,1.5662464424420346
7,4,blue,ridge,full_1fcs,1.0,1.84,1.5155422531800062,1.5662464424420346
7,4,blue,ridge,full_mfcs,1.0,1.74,1.5155422531800062,1.5662464424420346
7,5,blue,ridge,full_ex,1.0,1.18,1.5408899113881922,1.484520771753796
7,5,blue,ridge,full_1fcs,1.0,1.92,1.5408899113881922,1.484520771753796
7,5,blue,ridge,full_mfcs,1.0,1.76,1.5408899113881922,1.484520771753796
8,1,blue,ridge,full_ex,0.0,0.7000000000000001,0.6549197067803165,1.3334729315437972
8,1,blue,ridge,full_1fcs,1.0,2.22,0.6549197067803165,1.3334729315437972
8,1,blue,ridge,full_mfcs,1.0,2.22,0.6549197067803165,1.3334729315437972
8,2,blue,ridge,full_ex,1.0,0.6,1.333328517779121,1.4213358476119209
8,2,blue,ridge,full_1fcs,1.0,2.22,1.333328517779121,1.4213358476119209
8,2,blue,ridge,full_mfcs,1.0,2.22,1.333328517779121,1.4213358476119209
8,3,blue,ridge,full_ex,1.0,0.56,1.3773274996348608,1.3671232575784753
8,3,blue,ridge,full_1fcs,1.0,2.22,1.3773274996348608,1.3671232575784753
8,3,blue,ridge,full_mfcs,1.0,1.76,1.3773274996348608,1.3671232575784753
8,4,blue,ridge,full_ex,1.0,0.56,1.3739263269536515,1.4274646975273235
8,4,blue,ridge,full_1fcs,1.0,2.22,1.3739263269536515,1.4274646975273235
8,4,blue,ridge,full_mfcs,1.0,1.78,1.3739263269536515,1.4274646975273235
8,5,blue,ridge,full_ex,1.0,0.56,1.3873102073367074,1.3564213862664827
8,5,blue,ridge,full_1fcs,1.0,2.22,1.3873102073367074,1.3564213862664827
8,5,blue,ridge,full_mfcs,1.0,1.8,1.3873102073367074,1.3564213862664827
9,1,blue,ridge,full_ex,0.0,1.24,0.9427256492293224,1.4448701117496665
9,1,blue,ridge,full_1fcs,1.0,2.22,0.9427256492293224,1.4448701117496665
9,1,blue,ridge,full_mfcs,1.0,2.22,0.9427256492293224,1.4448701117496665
9,2,blue,ridge,full_ex,1.0,1.62,1.3238442006011408,1.3256320677064677
9,2,blue,ridge,full_1fcs,1.0,2.22,1.3238442006011408,1.3256320677064677
9,2,blue,ridge,full_mfcs,1.0,1.52,1.3238442006011408,1.3256320677064677
9,3,blue,ridge,full_ex,1.0,0.8200000000000001,1.32563092526353,1.3118893634212512
9,3,blue,ridge,full_1fcs,1.0,1.68,1.32563092526353,1.3118893634212512
9,3,blue,ridge,full_mfcs,1.0,1.52,1.32563092526353,1.3118893634212512
9,4,blue,ridge,full_ex,1.0,0.7000000000000001,1.3187623402502082,1.3100420307977505
9,4,blue,ridge,full_1fcs,1.0,1.72,1.3187623402502082,1.3100420307977505
9,4,blue,ridge,full_mfcs,1.0,1.54,1.3187623402502082,1.3100420307977505
9,5,blue,ridge,full_ex,1.0,0.66,1.3158561898377452,1.3134643478847334
